@relation performance-counters

@attribute BRANCH_INSTRUCTIONS_RETIRED numeric
@attribute CACHE-REFERENCES numeric
@attribute CYCLES numeric
@attribute INSTRUCTION_RETIRED numeric
@attribute INSTRUCTIONS numeric
@attribute LLC_MISSES numeric
@attribute LLC_REFERENCES numeric
@attribute MAJOR-FAULTS numeric
@attribute MINOR-FAULTS numeric
@attribute MISPREDICTED_BRANCH_RETIRED numeric
@attribute UNHALTED_CORE_CYCLES numeric
@attribute UNHALTED_REFERENCE_CYCLES numeric
@attribute class {M0,M1,M2,M3}

@data
33428691,1036061,92661421,157946599,159726127,98884,943543,0,357,237021,116763781,161,M0
37594695,949334,95384714,275840319,175028291,106796,778086,0,369,229103,93780063,104,M0
40006866,980483,95013477,176993395,173594108,103854,980184,0,348,445716,122819130,182,M0
37568886,1041824,92689690,172535481,167654416,103920,1004217,0,373,414241,121375770,179,M0
38598883,924131,91592956,167760713,164919607,108887,1003816,0,362,435784,112595340,196,M0
36345975,923157,89715000,163549113,161404899,98126,905429,0,339,225127,111380321,130,M0
40334977,987390,97642396,177290487,177238183,108727,991763,0,350,224495,123261054,190,M0
39035976,877884,94401995,263512170,170425472,100185,732067,0,383,223682,97269651,93,M0
36439345,899245,86828801,159429575,159351721,104774,943247,0,165,222231,107873185,126,M0
40321598,846450,90709360,166596852,166428807,110284,984073,0,343,224583,110130495,153,M0
39188147,918669,93858406,163351802,171520735,107283,991105,0,195,446566,112577391,155,M0
38589731,929352,92993798,162827971,165722212,112983,986984,0,169,240551,110018166,132,M0
36739137,909004,92410129,154614002,161390900,106951,903176,0,303,233038,105861711,166,M0
38717562,901316,90912639,168811725,167748321,112071,980717,0,184,428172,111660432,128,M0
36245356,897493,85159907,161302303,159736411,101216,998222,0,315,402288,111424598,132,M0
36026830,903754,92868209,155873699,166183160,101904,884203,0,331,228366,108375391,170,M0
37633537,895781,90141095,164346967,162957552,105080,941032,0,359,221573,109922349,140,M0
40184066,944811,95983163,172714915,173085221,99589,907110,0,326,228931,118861029,180,M0
36564692,980576,97321318,165130082,170335216,98754,938987,0,380,237278,115841240,164,M0
41236599,948762,98996391,168571949,177555569,108344,921854,0,366,226863,116499425,169,M0
39516206,996105,96355302,166500458,172852041,109145,961003,0,199,235907,117149244,166,M0
34626616,976853,88631739,158429290,163623023,108179,933411,0,185,221221,110851586,193,M0
35466476,947823,87337803,161233626,157572923,101219,945286,0,367,438952,112214925,160,M0
38565167,865967,85371749,160196044,159558702,106159,1001923,0,192,381999,109436099,189,M0
34019481,841847,79765752,157932328,147216429,109233,1036617,0,276,410555,105272404,148,M0
34545184,926094,86879107,157853288,156641248,100748,961337,0,424,210066,108540847,155,M0
41972603,824203,180531824,172345394,168118980,109709,1040717,0,277,429240,113544855,151,M0
34593150,921993,86541491,156359746,156792733,107291,972867,0,184,214336,106668866,142,M0
35645612,970158,89170291,162731025,160714309,101623,954765,0,345,227727,111981285,159,M0
36985756,965440,91844172,160393630,161064552,116298,1042437,0,353,236813,110441953,217,M0
35411029,956375,89994693,154784846,157751010,104055,991533,0,309,459856,108184354,158,M0
35501195,942406,88575792,256009732,158948535,99702,726424,0,308,214975,88258126,123,M0
39699155,882806,90583900,167995691,168651779,118938,1047923,0,182,432631,113256324,124,M0
28169784,1030634,93504725,133184144,164940212,101002,718957,0,268,222325,109303510,98,M0
37245803,944668,88436804,165627135,164620614,105653,954499,0,317,424918,114907495,152,M0
34657342,917903,87013076,162046231,156126740,102896,955435,0,362,447310,111395981,129,M0
40150311,978596,96162696,175956739,173122241,106834,999510,0,375,441848,123423333,189,M0
35340023,911252,84287679,160087613,156589307,100528,952740,0,287,400805,110035388,183,M0
42944762,922462,98434804,181169397,181451363,109152,1010234,0,388,229266,119867014,129,M0
